电影id,电影名称,出品国家,电影类别1,电影类别2,电影类别3,电影评分,男性占比,女性占比
1413334,夏天的烦恼,"中国
",喜剧,家庭,剧情,,0.348 ,0.652 
1413344,平教之路,"中国
",剧情,动作,,,0.519 ,0.481 
1413391,你好，鸽先生,"中国
",励志,爱情,,,0.651 ,0.349 
1413511,极速阻击,,,,,,,
1413549,维和防暴队,"中国
",动作,剧情,,8.6,0.221 ,0.779 
1413550,梦回金鸡岭,"中国
",励志,,,,0.474 ,0.526 
1413584,云在江口,"中国
",剧情,爱情,,,0.467 ,0.533 
1413629,泪光中的妈妈,"中国
",剧情,,,,0.132 ,0.868 
1413665,云淡风轻,"中国
",剧情,,,,0.453 ,0.547 
1413802,陌路狂刀,,,,,,,
1413816,完美音符,"中国
",青春,剧情,,,0.412 ,0.588 
1413881,远山花开,"中国
",剧情,,,,0.314 ,0.686 
1413896,潜艇总动员：环游地球80天,"中国
",动画,科幻,冒险,7.5,0.192 ,0.808 
1413914,幸福小马灯,"中国
",剧情,喜剧,爱情,,0.458 ,0.542 
1413958,欧卡纸牌之记忆迷踪,"中国
",剧情,犯罪,,,0.432 ,0.568 
1413959,南湖女儿,"中国
",青春,传记,,,0.421 ,0.579 
1413971,画布上的起跑线,"中国
",纪录片,,,,0.300 ,0.700 
1414010,意外营救,"中国
",动作,剧情,喜剧,,0.369 ,0.631 
1414027,八百矿工上井冈,"中国
",战争,历史,剧情,,0.451 ,0.549 
1414038,喋血羊城,"中国
",剧情,动作,,,0.553 ,0.447 
1414041,汉文皇后（戏曲 越剧）,"中国
",剧情,,,,0.140 ,0.860 
1414090,醒来2,"中国
",剧情,,,,0.315 ,0.685 
1414842,相信·爱,"中国
",剧情,爱情,都市,,0.379 ,0.621 
1415055,冰建王国,"中国
",纪录片,,,,0.273 ,0.727 
1417368,造梦之家,"美国
",剧情,家庭,,,0.350 ,0.650 
1417411,暴风,"中国
",剧情,动作,悬疑,8.2,0.385 ,0.615 
1418916,巡察,"中国
",剧情,,,,0.441 ,0.559 
1418942,,,,,,,,
1418965,玩转门神,"中国
",剧情,喜剧,,,0.325 ,0.675 
1419044,屋顶足球,"中国
",剧情,励志,运动,,0.432 ,0.568 
1419052,征程之星火,"中国
",剧情,,,,0.434 ,0.566 
